PAIS;PIB;POB;IDH;GINI;IPC;FAO;GENERO;ELECTRICIDAD;ESCOLARIDAD;SUICIDIOFEM;SUICIDIOMAS;BOSQUE;FOSIL;DIOXIDO;DESASTRE;AFECTADOS;HOMICIDIO;MORTINF;MORTMAT;TURISMO;INTERNET;VIOLENCIA;VIDA;CELULAR;DESERCION;PRISION;RENOVABLE;PARLAMENTO;INMIGRANTES
United States;16230.21;316.129;0.9150;41.12;106.83;1.00;0.280;100;16.48;5.2;19.4;33.32;83.55;17.020;1603.992;4.721;4.7;6.9;28;69.800;87.36;35.6;79.1;98.41;2.43;716;16.30;19.44;14.31
China;15643.22;1357.380;0.7275;37.01;111.05;3.25;0.191;100;13.07;8.7;7.1;22.62;88.30;6.710;99515.216;288.105;1.0;12.7;32;55.700;49.30;31.2;75.8;92.27;24.34;121;11.74;23.62;0.06
India;6558.73;1252.140;0.6087;33.60;131.97;4.68;0.563;79;11.70;16.4;25.8;23.11;72.30;1.699;15007.951;930.428;3.5;52.7;190;6.968;18.00;35.4;68.0;74.48;29.40;30;27.64;12.21;0.43
Japan;4535.08;127.339;0.8906;32.11;100.04;1.89;0.133;100;15.33;10.1;26.9;68.57;94.79;9.292;117.251;4.091;0.3;2.9;6;10.400;90.58;18.5;83.5;120.23;0.16;51;5.21;11.58;1.92
Germany;3483.40;80.622;0.9161;30.63;105.69;1.54;0.041;100;16.46;4.1;14.5;31.78;80.19;8.918;0.814;0.000;0.8;3.9;7;31.500;86.19;40.0;80.9;120.42;3.76;79;20.39;36.86;11.90
Russia;3381.46;143.500;0.7979;39.69;121.63;4.30;0.276;100;14.69;6.2;35.1;49.41;91.02;12.647;23.114;1.446;9.2;10.1;24;30.800;70.52;24.3;70.1;155.14;3.40;475;9.20;14.52;7.73
Brazil;2916.28;200.362;0.7553;52.67;119.37;2.61;0.457;100;15.19;2.5;9.4;61.63;54.57;2.231;902.760;10.574;25.2;13.7;69;5.813;57.60;38.8;74.5;138.95;19.38;274;44.25;9.60;0.30
France;2453.25;66.028;0.8881;31.69;105.01;1.70;0.088;100;16.00;6.0;19.3;29.31;49.11;5.185;54.109;0.063;1.0;4.2;12;84.700;83.75;30.5;82.2;100.36;2.43;98;52.41;25.73;11.57
United Kingdom;2372.69;64.097;0.9067;38.04;110.18;1.19;0.177;100;16.18;2.6;9.8;11.97;85.09;7.086;42.645;3.107;1.0;4.6;8;31.200;91.61;28.4;80.7;123.58;1.56;147;14.37;23.53;12.39
Indonesia;2312.36;249.866;0.6838;38.14;116.91;6.73;0.494;96;12.99;4.9;3.7;51.37;66.42;2.313;1072.527;81.790;0.6;29.3;190;8.802;17.14;3.1;68.9;126.18;11.03;59;33.58;17.12;0.12
Italy;2044.26;59.831;0.8730;35.52;107.16;2.01;0.068;100;16.04;1.9;7.6;31.63;83.72;6.703;9.132;7.430;0.9;3.6;4;47.700;61.96;31.9;83.1;154.25;0.67;106;13.94;30.07;9.38
Mexico;1992.89;122.332;0.7562;48.07;111.76;3.74;0.373;99;13.06;1.7;7.1;33.18;90.10;3.909;1208.876;39.038;21.5;14.5;49;24.200;44.39;46.7;76.8;82.54;4.25;210;9.86;37.10;0.90
South Korea;1642.59;50.220;0.8983;31.01;107.67;1.85;0.125;100;16.87;18.0;41.7;63.78;82.81;11.841;10.370;0.462;0.9;3.7;27;12.200;84.33;30.3;81.9;115.54;0.81;99;17.16;16.33;2.50
Saudi Arabia;1501.06;28.829;0.8373;29.00;112.70;2.89;0.284;98;16.27;0.2;0.6;0.45;100.00;18.741;1.190;1.065;0.8;15.5;16;13.400;63.70;39.5;74.3;179.56;1.31;162;0.00;19.87;31.43
Spain;1473.89;46.647;0.8761;35.75;107.21;2.01;0.095;100;17.35;2.2;8.2;37.14;75.89;5.791;2.391;1.533;0.8;4.2;4;60.700;76.19;30.5;82.6;107.85;2.85;147;24.89;37.99;13.78
Canada;1472.93;35.158;0.9132;33.68;105.45;1.25;0.129;100;15.88;4.8;14.9;34.10;73.69;14.136;12.795;0.726;1.6;5.2;11;16.600;87.12;6.4;82.0;82.98;4.64;118;27.90;28.17;20.70
Turkey;1398.25;74.933;0.7611;40.04;124.63;3.79;0.359;100;14.54;4.2;11.8;15.04;89.51;4.392;16.228;3.406;2.6;19.2;20;37.800;51.04;19.7;75.3;94.79;9.98;179;10.28;14.42;2.49
Iran;1168.68;77.447;0.7656;38.28;213.95;4.47;0.515;100;15.09;3.6;6.7;6.80;99.52;7.777;113.645;0.705;4.1;16.8;23;4.769;39.35;27.4;75.4;87.79;3.82;284;0.69;3.10;3.42
Australia;990.72;23.131;0.9350;34.01;107.79;1.36;0.110;100;20.22;5.2;16.1;19.19;95.37;16.519;30.935;0.773;1.1;4.0;6;6.382;84.56;39.9;82.4;131.23;6.12;130;4.63;30.53;27.71
Nigeria;941.46;173.615;0.5140;42.95;134.92;6.33;0.373;56;8.99;2.9;10.3;9.03;17.40;0.536;983.793;1.482;20.0;117.4;560;0.600;42.68;29.5;52.8;77.84;20.66;32;82.60;6.61;0.71
Thailand;933.58;67.011;0.7258;39.37;109.28;4.52;0.380;100;13.47;4.5;19.1;37.19;80.44;4.557;4737.726;1.640;5.0;13.1;26;26.500;34.89;43.8;74.4;144.44;17.41;398;18.91;6.09;5.55
