idCliente,edad,esJubilado,esObrero,esTrabajadorDependiente,esTécnico,esGerente,esTrabajadorIndependiente,esEmpresario,esDivorciado,esCasado,esSoltero,conEnsenanzaBasica,conEnsenanzaMedia,conTecnicoProfesional,conUniversitario,tieneMora,salMedioAnual,tieneCredHipot,tieneCredConsumo,medioContacPreferenteFonoParticular,medioContacPreferenteCelular,medioContacPreferenteEmailing,contConSuEjecutivo,tieneInv
1,87,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2282000,0,0,1,0,0,0,1
2,92,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,90,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1234000,0,0,0,1,0,0,0
4,89,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,775000,0,0,0,1,0,7,1
5,89,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,775000,0,0,0,1,0,9,1
6,88,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,775000,0,0,0,1,0,0,1
7,88,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,775000,0,0,0,1,0,3,1
8,86,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1000,0,0,0,1,0,0,0
9,86,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,712000,0,0,1,0,0,0,1
10,82,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,553000,0,0,1,0,0,0,0
11,86,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,86,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1323000,0,0,1,0,0,1,0
13,84,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,433000,0,0,1,0,0,1,0
14,85,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,648000,0,0,1,0,0,0,0
15,79,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6746000,0,0,1,0,0,0,1
16,79,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,230000,0,0,0,1,0,0,0
17,83,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,433000,0,0,1,0,0,0,0
18,81,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2190000,0,0,1,0,0,0,1
19,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5236000,0,0,1,0,0,0,1
20,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1817000,0,0,0,1,0,0,0
21,83,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1503000,0,0,1,0,0,1,0
22,83,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,81,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,614000,0,0,1,0,0,0,1
24,83,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,79,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,157000,0,0,1,0,0,0,0
26,79,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1255000,0,0,0,1,0,4,0
27,79,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1255000,0,0,1,0,0,3,1
28,74,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,98000,0,0,0,1,0,0,0
29,74,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1934000,0,0,1,0,0,0,0
30,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1255000,0,0,0,1,0,0,1
31,82,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12114000,0,0,1,0,0,0,1
32,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7613000,0,0,0,1,0,0,1
33,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,81204000,0,0,1,0,0,3,1
34,81,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,639000,0,0,1,0,0,0,1
35,81,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2619000,0,0,1,0,0,2,0
36,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1680000,0,0,1,0,0,3,0
37,81,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4761000,0,0,1,0,0,3,1
38,81,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
39,80,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1702000,0,0,1,0,0,0,0
40,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,81204000,0,0,1,0,0,2,1
41,81,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1791000,0,0,1,0,0,0,0
42,78,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20000,0,0,0,1,0,0,0
43,80,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44,76,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4216000,0,0,0,1,0,0,0
45,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6236000,0,0,0,1,0,3,0
46,77,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1965000,0,0,1,0,0,0,1
47,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,425000,0,0,1,0,0,2,1
48,80,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2619000,0,0,1,0,0,0,0
49,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6236000,0,0,0,1,0,2,0
50,78,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4565000,0,0,0,1,0,0,0
51,73,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2140000,0,0,0,1,0,8,0
52,76,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5944000,0,0,0,1,0,0,0
53,80,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4761000,0,0,1,0,0,1,0
54,80,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
55,80,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0
56,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,425000,0,0,1,0,0,1,1
57,79,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3349000,0,0,1,0,0,0,0
58,80,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4761000,0,0,1,0,0,0,1
59,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1097000,0,0,1,0,0,0,1
60,80,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
61,79,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46000,0,0,0,1,0,0,0
62,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6236000,0,0,0,1,0,0,0
63,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,425000,0,0,1,0,0,0,0
64,72,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2140000,0,0,1,0,0,0,0
65,75,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,211000,0,0,1,0,0,0,0
66,79,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
67,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,278000,0,0,0,1,0,0,0
68,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8603000,0,0,0,1,0,0,1
69,73,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1419000,0,0,1,0,0,0,0
70,75,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1381000,0,0,0,1,0,1,0
71,79,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
72,79,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,243000,0,0,0,1,0,2,0
73,75,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1381000,0,0,0,1,0,4,1
74,75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,121000,0,0,1,0,0,0,0
75,78,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,928000,0,0,1,0,0,3,0
76,79,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
77,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,276000,0,0,1,0,0,0,0
78,79,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
79,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,103000,0,0,0,1,0,0,0
80,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8603000,0,0,0,1,0,1,1
81,75,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1381000,0,0,0,1,0,0,0
82,79,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
83,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5220000,0,0,1,0,0,2,1
84,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,243000,0,0,0,1,0,0,0
85,70,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9224000,0,0,1,0,0,0,0
86,75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,93000,0,0,0,1,0,0,0
87,76,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,452000,0,0,1,0,0,0,1
88,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,519000,0,0,1,0,0,0,0
89,78,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
90,78,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
91,77,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1000,0,0,0,1,0,0,0
