IdCliente,Fecha Nacimiento,Actividad Laboral,Estado Civil,Nivel Educacional,Tiene Mora,Saldo Medio Anual,Tiene Crédito Hipotecario,Tiene Crédito de Consumo,Medio de Contacto Preferente,Contactos con su Ejecutivo,Tiene Inversiones
1,1933-02-17,Jubilado,Divorciado,Universitario,No,2282000,No,No,Fono Particular,0,Si
2,1928-02-17,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
3,1930-02-18,Jubilado,Divorciado,Universitario,No,1234000,No,No,Celular,0,No
4,1931-02-20,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,7,Si
5,1931-02-20,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,9,Si
6,1932-02-20,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,0,Si
7,1932-02-20,Jubilado,Casado,Técnico Profesional,No,775000,No,No,Celular,3,Si
8,1934-02-22,Jubilado,Divorciado,Enseñanza Media,No,1000,No,No,Celular,0,No
9,1934-02-22,Jubilado,Divorciado,Universitario,No,712000,No,No,Fono Particular,0,Si
10,1938-02-24,Jubilado,Casado,Universitario,No,553000,No,No,Fono Particular,0,No
11,1934-02-24,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
12,1934-02-24,Jubilado,Divorciado,Universitario,No,1323000,No,No,Fono Particular,1,No
13,1936-02-24,Jubilado,Casado,Universitario,No,433000,No,No,Fono Particular,1,No
14,1935-02-24,Jubilado,Casado,Universitario,No,648000,No,No,Fono Particular,0,No
15,1941-02-25,Jubilado,Divorciado,Universitario,No,6746000,No,No,Fono Particular,0,Si
16,1941-02-25,Jubilado,Casado,Universitario,No,230000,No,No,Celular,0,No
17,1937-02-25,Jubilado,Casado,Universitario,No,433000,No,No,Fono Particular,0,No
18,1939-02-25,Jubilado,Casado,Universitario,No,2190000,No,No,Fono Particular,0,Si
19,1944-02-26,Jubilado,Casado,Universitario,No,5236000,No,No,Fono Particular,0,Si
20,1945-02-26,Jubilado,Casado,Universitario,No,1817000,No,No,Celular,0,No
21,1937-02-26,Jubilado,Casado,Universitario,No,1503000,No,No,Fono Particular,1,No
22,1937-02-26,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Celular,0,No
23,1939-02-26,Jubilado,Soltero,Universitario,No,614000,No,No,Fono Particular,0,Si
24,1937-02-26,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
25,1941-02-26,Jubilado,Divorciado,Técnico Profesional,No,157000,No,No,Fono Particular,0,No
26,1941-02-26,Jubilado,Casado,Universitario,No,1255000,No,No,Celular,4,No
27,1941-02-26,Jubilado,Casado,Universitario,No,1255000,No,No,Fono Particular,3,Si
28,1946-02-28,Jubilado,Casado,Enseñanza Básica,No,98000,No,No,Celular,0,No
29,1946-02-28,Jubilado,Casado,Técnico Profesional,No,1934000,No,No,Fono Particular,0,No
30,1942-02-28,Jubilado,Casado,Universitario,No,1255000,No,No,Celular,0,Si
31,1938-02-28,Jubilado,Casado,Universitario,No,12114000,No,No,Fono Particular,0,Si
32,1946-02-28,Jubilado,Divorciado,Universitario,No,7613000,No,No,Celular,0,Si
33,1945-02-28,Jubilado,Casado,Universitario,No,81204000,No,No,Fono Particular,3,Si
34,1939-02-28,Jubilado,Divorciado,Universitario,No,639000,No,No,Fono Particular,0,Si
35,1939-02-28,Jubilado,Divorciado,Universitario,No,2619000,No,No,Fono Particular,2,No
36,1945-02-28,Jubilado,Divorciado,Universitario,No,1680000,No,No,Fono Particular,3,No
37,1939-02-28,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,3,Si
38,1939-02-28,Obrero,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
39,1940-02-28,Jubilado,Casado,Universitario,No,1702000,No,No,Fono Particular,0,No
40,1945-02-28,Jubilado,Casado,Universitario,No,81204000,No,No,Fono Particular,2,Si
41,1939-02-28,Jubilado,Casado,Universitario,No,1791000,No,No,Fono Particular,0,No
42,1942-03-01,Jubilado,Divorciado,Enseñanza Básica,No,20000,No,No,Celular,0,No
43,1940-03-01,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
44,1944-03-01,Jubilado,Casado,Técnico Profesional,No,4216000,No,No,Celular,0,No
45,1948-03-01,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,3,No
46,1943-03-01,Jubilado,Soltero,Universitario,No,1965000,No,No,Fono Particular,0,Si
47,1942-03-01,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,2,Si
48,1940-03-01,Jubilado,Divorciado,Universitario,No,2619000,No,No,Fono Particular,0,No
49,1948-03-01,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,2,No
50,1942-03-01,Jubilado,Divorciado,Universitario,No,4565000,No,No,Celular,0,No
51,1947-03-01,Trabajador Dependiente,Casado,Enseñanza Básica,No,2140000,No,No,Celular,8,No
